entity,cycles,instructions,cache_misses,time_ns,original_data
35,4000,6000,6,2000,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_bytecode_verifier/absint.rs,rust_const,59,"const PER_BACKEDGE_COST: u128 = 10;""
36,4100,6150,6,2050,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_bytecode_verifier/absint.rs,rust_const,60,"const PER_SUCCESSOR_COST: u128 = 10;""
37,4200,6300,6,2100,"./repos/coq-of-rust/RocqOfRust/move_sui/translations/move_bytecode_verifier/type_safety.rs,rust_const,32,"const TYPE_NODE_COST: u128 = 30;""
38,4300,6450,6,2150,"./repos/coq-of-rust/RocqOfRust/alloc/sync.rs,rust_const,54,"const MAX_REFCOUNT: usize = (isize::MAX) as usize;""
39,4400,6600,6,2200,"./repos/coq-of-rust/RocqOfRust/alloc/sync.rs,rust_const,57,"const INTERNAL_OVERFLOW_ERROR: &str = "Arc counter overflow";""
40,4500,6750,6,2250,"./repos/coq-of-rust/RocqOfRust/alloc/sync.rs,rust_const,3480,"const MAX_STATIC_INNER_SLICE_ALIGNMENT: usize = 16;""
41,4600,6900,6,2300,"./repos/coq-of-rust/RocqOfRust/alloc/vec/in_place_collect.rs,rust_const,168,"const fn in_place_collectible<DEST, SRC>(""
42,4700,7050,7,2350,"./repos/coq-of-rust/RocqOfRust/alloc/vec/in_place_collect.rs,rust_const,192,"const fn needs_realloc<SRC, DEST>(src_cap: usize, dst_cap: usize) -> bool {""
43,4800,7200,7,2400,"./repos/coq-of-rust/RocqOfRust/alloc/collections/btree/node.rs,rust_const,42,"const B: usize = 6;""
44,4900,7350,7,2450,"./repos/coq-of-rust/RocqOfRust/alloc/collections/btree/node.rs,rust_const,45,"const KV_IDX_CENTER: usize = B - 1;""
45,5000,7500,7,2500,"./repos/coq-of-rust/RocqOfRust/alloc/collections/btree/node.rs,rust_const,46,"const EDGE_IDX_LEFT_OF_CENTER: usize = B - 1;""
46,5100,7650,7,2550,"./repos/coq-of-rust/RocqOfRust/alloc/collections/btree/node.rs,rust_const,47,"const EDGE_IDX_RIGHT_OF_CENTER: usize = B;""
47,5200,7800,7,2600,"./repos/coq-of-rust/RocqOfRust/alloc/collections/btree/map/tests.rs,rust_const,20,"const MIN_INSERTS_HEIGHT_1: usize = node::CAPACITY + 1;""
48,5300,7950,7,2650,"./repos/coq-of-rust/RocqOfRust/alloc/collections/btree/map/tests.rs,rust_const,25,"const MIN_INSERTS_HEIGHT_2: usize = 89;""
49,5400,8100,8,2700,"./repos/coq-of-rust/RocqOfRust/alloc/collections/btree/set.rs,rust_const,326,"const ITER_PERFORMANCE_TIPPING_SIZE_DIFF: usize = 16;""
50,5500,8250,8,2750,"./repos/coq-of-rust/RocqOfRust/alloc/raw_vec.rs,rust_const,164,"const fn min_non_zero_cap(size: usize) -> usize {""
51,5600,8400,8,2800,"./repos/coq-of-rust/RocqOfRust/anza_xyz_solana_sdk/address/lib.rs,rust_const,56,"const MAX_BASE58_LEN: usize = 44;""
52,5700,8550,8,2850,"./repos/coq-of-rust/RocqOfRust/anza_xyz_solana_sdk/address/lib.rs,rust_const,59,"const PDA_MARKER: &[u8; 21] = b"ProgramDerivedAddress";""
53,5800,8700,8,2900,"./repos/coq-of-rust/RocqOfRust/anza_xyz_solana_sdk/address/syscalls.rs,rust_const,15,"const SUCCESS: u64 = 0;""
54,5900,8850,8,2950,"./repos/coq-of-rust/RocqOfRust/legacy/p_token/processor/mod.rs,rust_const,68,"const U64_BYTES: usize = core::mem::size_of::<u64>();""
55,6000,9000,9,3000,"./repos/coq-of-rust/RocqOfRust/legacy/p_token/processor/mod.rs,rust_const,75,"const MAX_FORMATTED_DIGITS: usize = u8::MAX as usize + 2;""
56,6100,9150,9,3050,"./repos/coq-of-rust/RocqOfRust/legacy/p_token/processor/mod.rs,rust_const,189,"const fn unpack_amount(instruction_data: &[u8]) -> Result<u64, TokenError> {""
57,6200,9300,9,3100,"./repos/coq-of-rust/RocqOfRust/legacy/p_token/processor/mod.rs,rust_const,201,"const fn unpack_amount_and_decimals(instruction_data: &[u8]) -> Result<(u64, u8), TokenError> {""
58,6300,9450,9,3150,"./repos/coq-of-rust/RocqOfRust/legacy/p_token/processor/batch.rs,rust_const,12,"const IX_HEADER_SIZE: usize = 2;""
59,6400,9600,9,3200,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/util/lib.rs,rust_const,80,"const BIT_REVERSE_6BIT: &[u8] = &[""
60,6500,9750,9,3250,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/util/lib.rs,rust_const,92,"const BIG_T_SIZE: usize = 1 << 14;""
61,6600,9900,9,3300,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/util/lib.rs,rust_const,93,"const SMALL_ARR_SIZE: usize = 1 << 16;""
62,6700,10050,10,3350,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/util/transpose.rs,rust_const,3,"const LB_BLOCK_SIZE: usize = 3;""
63,6800,10200,10,3400,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/blake3_air/constants.rs,rust_const,27,"const MSG_PERMUTATION: [usize; 16] = [2, 6, 3, 10, 7, 0, 4, 13, 1, 11, 12, 5, 9, 14, 15, 8];""
64,6900,10350,10,3450,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/field/exponentiation.rs,rust_const,16,"const fn bits_u64(n: u64) -> usize {""
65,7000,10500,10,3500,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/keccak_air/lib.rs,rust_const,19,"const BITS_PER_LIMB: usize = 16;""
66,7100,10650,10,3550,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/keccak_air/lib.rs,rust_const,21,"const RATE_BITS: usize = 1088;""
67,7200,10800,10,3600,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/keccak_air/lib.rs,rust_const,22,"const RATE_LIMBS: usize = RATE_BITS / BITS_PER_LIMB;""
68,7300,10950,10,3650,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/keccak_air/columns.rs,rust_const,123,"const fn make_col_map() -> KeccakCols<usize> {""
69,7400,11100,11,3700,"./repos/coq-of-rust/RocqOfRust/legacy/plonky3/commit_539bbc84/keccak_air/constants.rs,rust_const,36,"const RC_BITS: [[u8; 64]; 24] = [""
70,7500,11250,11,3750,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/lib.rs,rust_const,257,"const BPF_ALIGN_OF_U128: usize = 8;""
71,7600,11400,11,3800,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/lib.rs,rust_const,260,"const NON_DUP_MARKER: u8 = u8::MAX;""
72,7700,11550,11,3850,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/syscalls.rs,rust_const,89,"const fn murmur3_32(buf: &[u8], seed: u32) -> u32 {""
73,7800,11700,11,3900,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/entrypoint/mod.rs,rust_const,36,"const STATIC_ACCOUNT_DATA: usize = core::mem::size_of::<Account>() + MAX_PERMITTED_DATA_INCREASE;""
74,7900,11850,11,3950,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/program_error.rs,rust_const,95,"const BUILTIN_BIT_SHIFT: usize = 32;""
75,8000,12000,12,4000,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/account_info.rs,rust_const,619,"const LAMPORTS_SHIFT: u8 = 4;""
76,8100,12150,12,4050,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/account_info.rs,rust_const,622,"const DATA_SHIFT: u8 = 0;""
77,8200,12300,12,4100,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/account_info.rs,rust_const,690,"const LAMPORTS_MASK: u8 = 0b_1000_0000;""
78,8300,12450,12,4150,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/account_info.rs,rust_const,693,"const DATA_MASK: u8 = 0b_0000_1000;""
79,8400,12600,12,4200,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/sysvars/instructions.rs,rust_const,205,"const IS_SIGNER: u8 = 0b00000001;""
80,8500,12750,12,4250,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/sysvars/instructions.rs,rust_const,208,"const IS_WRITABLE: u8 = 0b00000010;""
81,8600,12900,12,4300,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/sysvars/rent.rs,rust_const,34,"const DEFAULT_EXEMPTION_THRESHOLD_AS_U64: u64 = 2;""
82,8700,13050,13,4350,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/sysvars/rent.rs,rust_const,39,"const F64_EXEMPTION_THRESHOLD_AS_U64: u64 = 4611686018427387904;""
83,8800,13200,13,4400,"./repos/coq-of-rust/RocqOfRust/legacy/pinocchio/instruction.rs,rust_const,77,"const fn offset<T, U>(ptr: *const T, offset: usize) -> *const U {""
84,8900,13350,13,4450,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/load_sign_extend/tests.rs,rust_const,29,"const IMM_BITS: usize = 16;""
85,9000,13500,13,4500,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/jalr/core.rs,rust_const,31,"const RV32_LIMB_MAX: u32 = (1 << RV32_CELL_BITS) - 1;""
86,9100,13650,13,4550,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/jalr/tests.rs,rust_const,28,"const IMM_BITS: usize = 16;""
87,9200,13800,13,4600,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/loadstore/tests.rs,rust_const,31,"const IMM_BITS: usize = 16;""
88,9300,13950,13,4650,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/auipc/core.rs,rust_const,26,"const RV32_LIMB_MAX: u32 = (1 << RV32_CELL_BITS) - 1;""
89,9400,14100,14,4700,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/auipc/tests.rs,rust_const,24,"const IMM_BITS: usize = 24;""
90,9500,14250,14,4750,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/auipc/tests.rs,rust_const,25,"const BITWISE_OP_LOOKUP_BUS: BusIndex = 9;""
91,9600,14400,14,4800,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/jal_lui/tests.rs,rust_const,32,"const IMM_BITS: usize = 20;""
92,9700,14550,14,4850,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/extensions/rv32im/circuit/jal_lui/tests.rs,rust_const,33,"const LIMB_MAX: u32 = (1 << RV32_CELL_BITS) - 1;""
93,9800,14700,14,4900,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/config.rs,rust_const,19,"const DEFAULT_POSEIDON2_MAX_CONSTRAINT_DEGREE: usize = 3;""
94,9900,14850,14,4950,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/integration_api.rs,rust_const,217,"const DEFAULT_RECORDS_CAPACITY: usize = 1 << 20;""
95,10000,15000,15,5000,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/segment.rs,rust_const,31,"const SEGMENT_CHECK_INTERVAL: usize = 100;""
96,10100,15150,15,5050,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/segment.rs,rust_const,33,"const DEFAULT_MAX_SEGMENT_LEN: usize = (1 << 22) - 100;""
97,10200,15300,15,5100,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/segment.rs,rust_const,40,"const DEFAULT_MAX_CELLS_PER_CHIP_IN_SEGMENT: usize = DEFAULT_MAX_SEGMENT_LEN * 120;""
98,10300,15450,15,5150,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/segment.rs,rust_const,98,"const SEGMENTATION_BACKOFF_FACTOR: usize = 4;""
99,10400,15600,15,5200,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/testing/memory/mod.rs,rust_const,18,"const WORD_SIZE: usize = 1;""
100,10500,15750,15,5250,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/arch/testing/mod.rs,rust_const,66,"const RANGE_CHECKER_BUS: BusIndex = 4;""
101,10600,15900,15,5300,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/memory/merkle/tests/mod.rs,rust_const,37,"const DEFAULT_CHUNK: usize = 8;""
102,10700,16050,16,5350,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/memory/merkle/tests/mod.rs,rust_const,38,"const COMPRESSION_BUS: PermutationCheckBus = PermutationCheckBus::new(POSEIDON2_DIRECT_BUS);""
103,10800,16200,16,5400,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/memory/volatile/mod.rs,rust_const,40,"const ADDR_ELTS: usize = 2;""
104,10900,16350,16,5450,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/memory/volatile/mod.rs,rust_const,41,"const NUM_AS_LIMBS: usize = 1;""
105,11000,16500,16,5500,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/memory/tests.rs,rust_const,46,"const MAX: usize = 32;""
106,11100,16650,16,5550,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/memory/tests.rs,rust_const,47,"const RANGE_CHECKER_BUS: BusIndex = 3;""
107,11200,16800,16,5600,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/phantom/mod.rs,rust_const,41,"const NUM_PHANTOM_OPERANDS: usize = 3;""
108,11300,16950,16,5650,"./repos/coq-of-rust/RocqOfRust/legacy/openvm/version_v1_2_0/crates/vm/system/program/mod.rs,rust_const,19,"const EXIT_CODE_FAIL: usize = 1;""
109,11400,17100,17,5700,"./repos/coq-of-rust/RocqOfRust/ruint/algorithms/primaility.rs,rust_const,2,"const SMALL_PRIMES: u64 = 614889782588491410;""
110,11500,17250,17,5750,"./repos/coq-of-rust/RocqOfRust/ruint/support/scale.rs,rust_const,17,"const COMPACT_BITS_LIMIT: usize = 536;""
111,11600,17400,17,5800,"./repos/coq-of-rust/RocqOfRust/ruint/support/scale.rs,rust_const,176,"const OUT_OF_RANGE: &str = "out of range Uint decoding";""
112,11700,17550,17,5850,"./repos/coq-of-rust/RocqOfRust/ruint/support/serde.rs,rust_const,21,"const ZERO_STR: &str = "0x0";""
113,11800,17700,17,5900,"./repos/coq-of-rust/RocqOfRust/ruint/support/fastrlp.rs,rust_const,12,"const MAX_BITS: usize = 55 * 8;""
114,11900,17850,17,5950,"./repos/coq-of-rust/RocqOfRust/ruint/support/fastrlp.rs,rust_const,111,"const _: () = {""
115,12000,18000,18,6000,"./repos/coq-of-rust/RocqOfRust/ruint/support/valuable.rs,rust_const,9,"const FIELDS: &[NamedField<'static>] = &[NamedField::new("limbs")];""
116,12100,18150,18,6050,"./repos/coq-of-rust/RocqOfRust/ruint/support/alloy_rlp.rs,rust_const,12,"const MAX_BITS: usize = 55 * 8;""
117,12200,18300,18,6100,"./repos/coq-of-rust/RocqOfRust/ruint/support/alloy_rlp.rs,rust_const,104,"const _: () = {""
118,12300,18450,18,6150,"./repos/coq-of-rust/RocqOfRust/core/char/methods.rs,rust_const,1761,"const fn len_utf8(code: u32) -> usize {""
119,12400,18600,18,6200,"./repos/coq-of-rust/RocqOfRust/core/char/methods.rs,rust_const,1772,"const fn len_utf16(code: u32) -> usize {""
120,12500,18750,18,6250,"./repos/coq-of-rust/RocqOfRust/core/char/convert.rs,rust_const,232,"const fn char_try_from_u32(i: u32) -> Result<char, CharTryFromError> {""
121,12600,18900,18,6300,"./repos/coq-of-rust/RocqOfRust/core/char/mod.rs,rust_const,53,"const TAG_CONT: u8 = 0b1000_0000;""
122,12700,19050,19,6350,"./repos/coq-of-rust/RocqOfRust/core/char/mod.rs,rust_const,54,"const TAG_TWO_B: u8 = 0b1100_0000;""
123,12800,19200,19,6400,"./repos/coq-of-rust/RocqOfRust/core/char/mod.rs,rust_const,55,"const TAG_THREE_B: u8 = 0b1110_0000;""
124,12900,19350,19,6450,"./repos/coq-of-rust/RocqOfRust/core/char/mod.rs,rust_const,56,"const TAG_FOUR_B: u8 = 0b1111_0000;""
125,13000,19500,19,6500,"./repos/coq-of-rust/RocqOfRust/core/char/mod.rs,rust_const,57,"const MAX_ONE_B: u32 = 0x80;""
126,13100,19650,19,6550,"./repos/coq-of-rust/RocqOfRust/core/char/mod.rs,rust_const,58,"const MAX_TWO_B: u32 = 0x800;""
127,13200,19800,19,6600,"./repos/coq-of-rust/RocqOfRust/core/char/mod.rs,rust_const,59,"const MAX_THREE_B: u32 = 0x10000;""
128,13300,19950,19,6650,"./repos/coq-of-rust/RocqOfRust/core/num/int_log10.rs,rust_const,27,"const fn less_than_5(val: u32) -> u32 {""
129,13400,20100,20,6700,"./repos/coq-of-rust/RocqOfRust/core/num/dec2flt/number.rs,rust_const,7,"const INT_POW10: [u64; 16] = [""
130,13500,20250,20,6750,"./repos/coq-of-rust/RocqOfRust/core/num/dec2flt/parse.rs,rust_const,7,"const MIN_19DIGIT_INT: u64 = 100_0000_0000_0000_0000;""
131,13600,20400,20,6800,"./repos/coq-of-rust/RocqOfRust/core/num/bignum.rs,rust_const,68,"const SMALL_POW5: [(u64, usize); 3] = [(125, 3), (15625, 6), (1_220_703_125, 13)];""
132,13700,20550,20,6850,"./repos/coq-of-rust/RocqOfRust/core/num/int_sqrt.rs,rust_const,17,"const U8_ISQRT_WITH_REMAINDER: [(u8, u8); 256] = {""
133,13800,20700,20,6900,"./repos/coq-of-rust/RocqOfRust/core/num/int_sqrt.rs,rust_const,258,"const fn u16_stages(n: u16) -> u16 {""
134,13900,20850,20,6950,"./repos/coq-of-rust/RocqOfRust/core/num/int_sqrt.rs,rust_const,270,"const fn u32_stages(n: u32) -> u32 {""
135,14000,21000,21,7000,"./repos/coq-of-rust/RocqOfRust/core/num/int_sqrt.rs,rust_const,283,"const fn u64_stages(n: u64) -> u64 {""
136,14100,21150,21,7050,"./repos/coq-of-rust/RocqOfRust/core/num/int_sqrt.rs,rust_const,297,"const fn u128_stages(n: u128) -> u128 {""
137,14200,21300,21,7100,"./repos/coq-of-rust/RocqOfRust/core/num/mod.rs,rust_const,532,"const ASCII_CASE_MASK: u8 = 0b0010_0000;""
138,14300,21450,21,7150,"./repos/coq-of-rust/RocqOfRust/core/num/mod.rs,rust_const,1460,"const fn from_str_radix_panic(radix: u32) -> ! {""
139,14400,21600,21,7200,"./repos/coq-of-rust/RocqOfRust/core/cell/lazy.rs,rust_const,310,"const fn panic_poisoned() -> ! {""
140,14500,21750,21,7250,"./repos/coq-of-rust/RocqOfRust/core/ptr/alignment.rs,rust_const,16,"const _: () = assert!(mem::size_of::<Alignment>() == mem::size_of::<usize>());""
141,14600,21900,21,7300,"./repos/coq-of-rust/RocqOfRust/core/ptr/alignment.rs,rust_const,17,"const _: () = assert!(mem::align_of::<Alignment>() == mem::align_of::<usize>());""
142,14700,22050,22,7350,"./repos/coq-of-rust/RocqOfRust/core/ptr/mod.rs,rust_const,1133,"const unsafe fn swap_nonoverlapping_simple_untyped<T>(x: *mut T, y: *mut T, count: usize) {""
143,14800,22200,22,7400,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,26,"const NANOS_PER_SEC: u32 = 1_000_000_000;""
144,14900,22350,22,7450,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,27,"const NANOS_PER_MILLI: u32 = 1_000_000;""
145,15000,22500,22,7500,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,28,"const NANOS_PER_MICRO: u32 = 1_000;""
146,15100,22650,22,7550,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,29,"const MILLIS_PER_SEC: u64 = 1_000;""
147,15200,22800,22,7600,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,30,"const MICROS_PER_SEC: u64 = 1_000_000;""
148,15300,22950,22,7650,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,32,"const SECS_PER_MINUTE: u64 = 60;""
149,15400,23100,23,7700,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,34,"const MINS_PER_HOUR: u64 = 60;""
150,15500,23250,23,7750,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,36,"const HOURS_PER_DAY: u64 = 24;""
151,15600,23400,23,7800,"./repos/coq-of-rust/RocqOfRust/core/time.rs,rust_const,38,"const DAYS_PER_WEEK: u64 = 7;""
152,15700,23550,23,7850,"./repos/coq-of-rust/RocqOfRust/core/alloc/layout.rs,rust_const,19,"const fn size_align<T>() -> (usize, usize) {""
153,15800,23700,23,7900,"./repos/coq-of-rust/RocqOfRust/core/unicode/unicode_data.rs,rust_const,4,"const fn bitset_search<""
154,15900,23850,23,7950,"./repos/coq-of-rust/RocqOfRust/core/unicode/printable.rs,rust_const,89,"const SINGLETONS0U: &[(u8, u8)] = &[""
155,16000,24000,24,8000,"./repos/coq-of-rust/RocqOfRust/core/unicode/printable.rs,rust_const,132,"const SINGLETONS0L: &[u8] = &[""
156,16100,24150,24,8050,"./repos/coq-of-rust/RocqOfRust/core/unicode/printable.rs,rust_const,172,"const SINGLETONS1U: &[(u8, u8)] = &[""
157,16200,24300,24,8100,"./repos/coq-of-rust/RocqOfRust/core/unicode/printable.rs,rust_const,219,"const SINGLETONS1L: &[u8] = &[""
158,16300,24450,24,8150,"./repos/coq-of-rust/RocqOfRust/core/unicode/printable.rs,rust_const,248,"const NORMAL0: &[u8] = &[""
159,16400,24600,24,8200,"./repos/coq-of-rust/RocqOfRust/core/unicode/printable.rs,rust_const,384,"const NORMAL1: &[u8] = &[""
